Hash,Paths,NS,ND,NF,Entropy,FIX
d652763b3fe4ae1256736c188c203f80b3b8f8f8,"[Bugzilla/BugMail.pm, checksetup.pl, defparams.pl]",2,2,3,1.3549613327276786,1,0
9e865838666f08c5505c1028a346f871559dbd90,"[Bugzilla/DB.pm, config.cgi, globals.pl, query.cgi]",2,2,4,1.3135897638683744,1,0
9f4501f4c4cd015355dac29532dcd43a7d54abf5,"[Bugzilla/BugMail.pm, globals.pl, showdependencygraph.cgi]",2,2,3,0.9150241022482328,1,0
69ae89c97d42f05d856f267a072832b597745285,"[Bugzilla/Config.pm, Bugzilla/DB.pm, defparams.pl, t/006spellcheck.t]",3,3,4,1.9560669723630377,1,0
2a3dbfdb7f95c9ceb846b2dccf48f306be931991,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
1ce813690fac63cdabddce9a0751c3ecc40fd264,"[template/en/default/account/prefs/prefs.html.tmpl, template/en/default/search/search-advanced.html.tmpl]",1,2,2,1.0,1,0
8f29b0223fd09477fac8097e5626e34e0fa3b2ec,"[skins/standard/global.css, skins/standard/index.css]",1,1,2,0.9359407149555171,1,0
6139fe45717768df3b593c46c236b20781d9f790,[Bugzilla/DB.pm],1,1,1,0.0,1,0
a062bd423cbf2828d644c53c2b21fd16a3ecc907,[buglist.cgi],1,1,1,0.0,1,0
cf769571be167becc7c07ea5a3f58a871abb2e5e,[globals.pl],1,1,1,0.0,1,0
80e765fbe8bf23ba27b5484bdb3a65c7aa723d6f,"[Bugzilla/Bug.pm, globals.pl, process_bug.cgi]",2,2,3,1.1700333844140454,1,0
7f64e175ca255497304d66e586f86e7dbfed5ef0,"[skins/standard/global/body_back.gif, skins/standard/global/header.png, skins/standard/index/front.png]",1,2,3,0.0,1,0
5a017c4d6d75553d8128b626c3d9acc8e00adbe7,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
6ba7e301377ab2ffe7ee04cf1a52d801cf705935,"[skins/standard/global.css, template/en/default/filterexceptions.pl, template/en/default/global/header.html.tmpl]",2,3,3,1.3143204867061788,1,0
4046c8b30e633c0c7051f7ee7a6c2c39e199badb,[template/en/default/global/variables.none.tmpl],1,1,1,0.0,1,0
5bf561558211cc84c176b80a5b3cced32704139b,[checksetup.pl],1,1,1,0.0,1,0
07c660bab2146bff164fc82a52419d74bf2fb6bf,[template/en/default/global/variables.none.tmpl],1,1,1,0.0,1,0
a745729a3ffd9491a0ae79bcca5d918b0ddbce9a,[t/004template.t],1,1,1,0.0,1,0
f6d4395710e88c108882a1d94e89f813d8e3f452,[docs/xml/troubleshooting.xml],1,1,1,0.0,1,0
c0df359943e8b746f02f5c43d25e5ffea99f8d19,"[Bugzilla/Bug.pm, Bugzilla/BugMail.pm, CGI.pl, buglist.cgi, editproducts.cgi, enter_bug.cgi, globals.pl, post_bug.cgi, process_bug.cgi, sanitycheck.cgi]",2,2,10,3.190446466221099,1,0
adbc63fabd697922571393564fb40dbed0909a26,[t/004template.t],1,1,1,0.0,1,0
431731b146257ab36e6103e84f2913d6c9c50499,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
4d334cb59e143cb7f43be5c4d0cb26e425120db4,[docs/xml/troubleshooting.xml],1,1,1,0.0,1,0
d394693b53e364d19c67694b0635f61e34266654,[template/en/default/attachment/create.html.tmpl],1,1,1,0.0,1,0
f8aeecaf8cd33d87315c5a50be9a762e142062a4,"[Bugzilla/BugMail.pm, CGI.pl, attachment.cgi, checksetup.pl, contrib/bug_email.pl, contrib/jb2bz.py, editmilestones.cgi, editproducts.cgi, editversions.cgi, globals.pl, importxml.pl, move.pl, post_bug.cgi, process_bug.cgi, sanitycheck.cgi, votes.cgi]",3,3,16,3.5549298152817808,1,0
a2b7d94d61be6af21994a99d23d15db9d776b78a,"[skins/standard/voting.css, template/en/default/bug/edit.html.tmpl, template/en/default/bug/votes/list-for-user.html.tmpl, votes.cgi]",3,4,4,1.2783398634154879,1,0
2e7ff851909cc108b2f885df08f4e92ec539a4ba,[Bugzilla/Template.pm],1,1,1,0.0,1,0
59d3e617949536d6a89573c11c9680dc5d060019,[Bugzilla/Template.pm],1,1,1,0.0,1,0
e564c92b745326a96a74f03eebb4dfd738de03cf,"[Bugzilla/Auth/Verify/LDAP.pm, Bugzilla/User.pm, createaccount.cgi, editusers.cgi, globals.pl, token.cgi, userprefs.cgi]",2,3,7,1.7241642840926568,1,0
d286752d0525b9bf8e6617b332aa8b3638212fc3,[Bugzilla/BugMail.pm],1,1,1,0.0,1,0
b8794968a8a352c966d7f7215ab69689c7f5b3dd,[t/004template.t],1,1,1,0.0,1,0
e56c40601d49450b317f95e8fc7d400a1a094f26,[checksetup.pl],1,1,1,0.0,1,0
6a20f783538986e8caf60b31a659248dd552f63f,[checksetup.pl],1,1,1,0.0,1,0
f33df44300eba0beadbfbbae4a277715e9a03971,[docs/xml/installation.xml],1,1,1,0.0,1,0
1f69eb26d13ab2841a75d5d06edaeb25b37952e8,[docs/xml/installation.xml],1,1,1,0.0,1,0
6db4590f9bc598179bbed35b66a3e583a04984c0,"[Bugzilla/Constants.pm, Bugzilla/Template.pm, Bugzilla/Util.pm, attachment.cgi, checksetup.pl, globals.pl, t/004template.t, template/en/default/bug/comments.html.tmpl, template/en/default/bug/create/create-guided.html.tmpl, template/en/default/bug/create/create.html.tmpl, template/en/default/bug/edit.html.tmpl, template/en/default/list/edit-multiple.html.tmpl, template/en/default/pages/linked.html.tmpl, template/en/default/pages/linkify.html.tmpl]",4,7,14,3.0210123772244675,1,0
9724257c5ec20f8afe776ce63687904deac4892e,[docs/xml/administration.xml],1,1,1,0.0,1,0
24a7eabaeaab2a3c4f1e43cb743bff443dd498c3,[docs/xml/administration.xml],1,1,1,0.0,1,0
007e838e8badb4172b18da4b202fc5a2e1deb86c,[docs/xml/installation.xml],1,1,1,0.0,1,0
28a1bb58e7a04725ffe20104f91f51088222e0c8,[editusers.cgi],1,1,1,0.0,1,0
8ccdccd2563ce1bd573a8b40afd0530a7d3d3bc9,[docs/xml/administration.xml],1,1,1,0.0,1,0
c06a14aa56f96ab045b309664f6059356652320c,[docs/xml/administration.xml],1,1,1,0.0,1,0
a83a50aba2b2b443c537f55112e1923af95ae134,[docs/xml/installation.xml],1,1,1,0.0,1,0
c3408e7244a4c0e6c22aab44cbcaab7b6ad4d489,[editusers.cgi],1,1,1,0.0,1,0
d2de194a05d12cf24138727a1a28bfb6320a9f73,[docs/xml/administration.xml],1,1,1,0.0,1,0
9d1249a9d9f86c68e529fe619a88526dcaf3cbb7,[docs/xml/administration.xml],1,1,1,0.0,1,0
5ffc444f94592918dddf6d3c85f81b1baa22c587,[docs/xml/installation.xml],1,1,1,0.0,1,0
7baeba807857a12b9aedde5b3840635588f8ca3d,[docs/xml/administration.xml],1,1,1,0.0,1,0
647577784777d9b71113d5353efbcfa4600fb6ae,[template/en/default/bug/knob.html.tmpl],1,1,1,0.0,1,0
882b1b2e6103563320be1f8f4c2a5aa46dc491fa,[docs/xml/administration.xml],1,1,1,0.0,1,0
ea7030a701bfdb503df542c3d7e814b8ea702929,"[Bugzilla/Bug.pm, globals.pl, template/en/default/global/user-error.html.tmpl]",3,3,3,1.561278124459133,1,0
d2664956a3387b9b969f1c1bec7dc615f95bc9a7,[checksetup.pl],1,1,1,0.0,1,0
8c3f0e1aeaddedd8a9b377ed4ff9a8a31b917600,"[defparams.pl, enter_bug.cgi, template/en/default/bug/create/create.html.tmpl]",2,2,3,1.5402513451679307,1,0
97d976961aaabcebd5307edab9de31213b265087,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
8a225c2784f6343cd3958b2baabab5d462b46310,"[editgroups.cgi, template/en/default/admin/groups/edit.html.tmpl, template/en/default/global/user-error.html.tmpl]",2,3,3,0.37093501593392675,1,0
a1ebb1dc2f70d884adb8c2e308ffc36fde647398,[template/en/default/bug/votes/list-for-user.html.tmpl],1,1,1,0.0,1,0
db56c51ee6520dc23de5cdde41e3d2e1fcf4a3bf,[template/en/default/bug/edit.html.tmpl],1,1,1,0.0,1,0
7b1ba221b42fbb27540207a8af253daba75d25f8,[checksetup.pl],1,1,1,0.0,1,0
c77b0f621e496eacf61d4be79319d05ba23d6b1f,[editgroups.cgi],1,1,1,0.0,1,0
d40e52583a3a290ef666fe4b2b34bb61d59d0ea5,[template/en/default/global/user-error.html.tmpl],1,1,1,0.0,1,0
cde2d370ea2b46e862d4ec2262ea2b2f7520bb4b,"[Bugzilla/Search.pm, buglist.cgi]",2,2,2,0.9852281360342515,1,0
4f8be6528de20edd9a5eaa599b11a95a50382918,"[globals.pl, process_bug.cgi]",1,1,2,1.0,1,0
6d0103591955685c96a0a9afa527d551022c83fc,"[editcomponents.cgi, editmilestones.cgi, editversions.cgi, template/en/default/global/user-error.html.tmpl]",2,2,4,1.2776134368191152,1,0
cb395034dca34035f3c55a92999edf7df037a141,[Bugzilla/Bug.pm],1,1,1,0.0,1,0
