Hash,File,LA,LD,LT,isAdded,isRemoved
9fe7ec66f8d871ca86300ad80176f267afa940bd,template/en/default/reports/report-table.html.tmpl,9,6,133,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,editflagtypes.cgi,18,5,546,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,js/productform.js,9,42,295,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,request.cgi,14,5,367,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,template/en/default/admin/flag-type/edit.html.tmpl,2,2,263,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,template/en/default/admin/flag-type/list.html.tmpl,2,2,155,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,template/en/default/global/js-products.html.tmpl,2,3,21,0,0
04004a62e2f190d6cfb3bd6965e9054125b56c47,template/en/default/request/queue.html.tmpl,4,27,228,0,0
6e6093a1ea2e44df70c1689e454a24c71cc33e54,Bugzilla/Attachment.pm,2,1,1025,0,0
8f405c09b2ef1db943aaea9201785d93cd35f86e,Bugzilla/Comment.pm,3,0,674,0,0
8f405c09b2ef1db943aaea9201785d93cd35f86e,Bugzilla/Template.pm,7,0,1395,0,0
7829cc8281fabe7809b85d772a7495ba1920dfed,Bugzilla/BugUrl.pm,3,2,221,0,0
2e0038dcb48f1e159520d093033db791483b0e63,template/en/default/bug/show-header.html.tmpl,2,1,78,0,0
8f405c09b2ef1db943aaea9201785d93cd35f86e,Bugzilla/Util.pm,24,1,1271,0,0
d6c9f9c56c5570e2e3118a05f05cecbc4a062c68,template/en/default/global/messages.html.tmpl,9,2,957,0,0
76fd2f8984309af7331c470d9340e03dcadae56f,Bugzilla.pm,1,1,1123,0,0
f6fd37da0f2c1792b1f804147a54fd0ea1212f54,template/en/default/global/messages.html.tmpl,9,2,960,0,0
f7293523ca164bc5726c98be8fbdfef74d952fe1,Bugzilla/BugUrl.pm,3,2,221,0,0
160a960408857e2a01728e01b22b2f54d0ef3b11,chart.cgi,5,6,358,0,0
a28da9f20a7837b6d620235809d4f21583c23bdb,Bugzilla.pm,1,1,1085,0,0
66e373d115707a31506abb62b95425555e94435b,Bugzilla/Attachment.pm,2,1,1063,0,0
2fdc142ef1119b9fc2741181ee4386c64c3c1677,chart.cgi,5,6,358,0,0
8f405c09b2ef1db943aaea9201785d93cd35f86e,Bugzilla/WebService/Bug.pm,4,3,4824,0,0
2db58cfea492eeba77be6c9ef099c16f0b175388,Bugzilla/Util.pm,1,0,1272,0,0
76d1a3dce027679850d12c2857dc4263962f1f52,template/en/default/attachment/edit.html.tmpl,7,2,352,0,0
35429919e6438ee05a5bc9413952cc30fed9e6b6,Bugzilla/API/1_0/Server.pm,3,3,466,0,0
35429919e6438ee05a5bc9413952cc30fed9e6b6,Bugzilla/Install/Requirements.pm,2,2,1142,0,0
513b4458b42e7f20ee0e57995c339c2dd6c495e7,Bugzilla/Hook.pm,1,1,1842,0,0
513b4458b42e7f20ee0e57995c339c2dd6c495e7,extensions/Example/Extension.pm,1,1,1098,0,0
9f5a8a28783f66b15973ac3714d10d1c0fa05f6d,attachment.cgi,4,1,838,0,0
a0c3ade6d450ee0403612199a96db5bb8a577006,extensions/MoreBugUrl/lib/Savane.pm,6,5,42,0,0
9c29ca8e756983f8ee3676be07af1d342bd140b6,.gitignore,1,0,18,0,0
26a693adb179c4a50272014c97b8f7e52efbea98,Bugzilla/Mailer.pm,67,1,261,0,0
5de72e1a092719475396826f94fdcdf4de56d85b,.gitignore,1,0,15,0,0
26a693adb179c4a50272014c97b8f7e52efbea98,Bugzilla/Product.pm,0,1,1112,0,0
933fe72425f6e657c152950246735370f0f06dcf,Bugzilla/Hook.pm,28,0,1842,0,0
933fe72425f6e657c152950246735370f0f06dcf,Bugzilla/Migrate.pm,17,5,1232,0,0
933fe72425f6e657c152950246735370f0f06dcf,extensions/Example/Extension.pm,6,0,1098,0,0
933fe72425f6e657c152950246735370f0f06dcf,extensions/Example/lib/Migrate/ImportBugs.pm,102,0,103,1,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,editflagtypes.cgi,18,5,546,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,js/productform.js,9,42,295,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,request.cgi,14,5,367,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,template/en/default/admin/flag-type/edit.html.tmpl,2,2,263,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,template/en/default/admin/flag-type/list.html.tmpl,2,2,155,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,template/en/default/global/js-products.html.tmpl,2,3,21,0,0
f709156da6e562a4466d45c9422ff0a111aaa7e0,template/en/default/request/queue.html.tmpl,4,27,228,0,0
e5a69b5d218de00d560a2f8ec0577b59e8ce18c8,docs/en/rst/api/core/v1/attachment.rst,2,4,350,0,0
a0f345b36eda134a8483be13fe75307f20809c54,t/014critic-core.t,33,0,34,1,0
a0f345b36eda134a8483be13fe75307f20809c54,t/critic-core.ini,79,0,80,1,0
a8512cea01b427d2af0a980b856e06e307c4c185,Bugzilla/Install/Localconfig.pm,12,1,414,0,0
c81a842c51eb1bd8beddbadc865450bd4e4db0bf,Bugzilla/API/1_0/Resource/User.pm,3,0,1153,0,0
c81a842c51eb1bd8beddbadc865450bd4e4db0bf,Bugzilla/WebService/User.pm,9,1,1116,0,0
c81a842c51eb1bd8beddbadc865450bd4e4db0bf,docs/en/rst/api/core/v1/user.rst,4,0,385,0,0
6967405a89a660884a9b1475d3c555a7ae289fbb,Dockerfile,72,0,73,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker-compose.yml,13,0,14,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/LICENSE,362,0,362,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/README.md,96,0,97,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/bugzilla.conf,16,0,17,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/bugzilla_config.sh,20,0,21,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/buildbot_step,69,0,70,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/checksetup_answers.txt,25,0,26,1,0
6967405a89a660884a9b1475d3c555a7ae289fbb,docker_files/install_deps.sh,34,0,35,1,0
