BUG ID,BUG Created,BUG Close,Fix Date,Fix Commit,File path,Fix Position,Added,Bug Position,Removed,Bug Line,Bug Commit,Comment,Code,BIC
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/CreateLotsOfTemporaryQueuesTest.java,35,1,34,1,34,a677c21240ac154a9fdd4cb1aca9001a5cb16472,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/CreateLotsOfTemporaryQueuesTest.java,53,0,52,2,52,a677c21240ac154a9fdd4cb1aca9001a5cb16472,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/CreateLotsOfTemporaryQueuesTest.java,53,0,52,2,53,a677c21240ac154a9fdd4cb1aca9001a5cb16472,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/CreateLotsOfTemporaryQueuesTest.java,63,0,64,1,64,a677c21240ac154a9fdd4cb1aca9001a5cb16472,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,34,1,33,3,33,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,34,1,33,3,35,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,34,1,33,3,39,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,58,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,59,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,60,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,61,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,62,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,63,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
AMQ-1142,2007-01-29,2007-06-12,2007-06-12,0eae2880cc53a7c19079eabe3be99278f14865c8,activemq-core/src/test/java/org/apache/activemq/usecases/NewConsumerCreatesDestinationTest.java,57,0,58,7,64,c13a547e1eadfae0ec407be185830db5dd175e03,0,1,true
